symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,yearHigh,yearLow,totalTradedVolume,totalTradedValue,lastUpdateTime,perChange365d,perChange30d
NIFTY AUTO,NIFTY AUTO,16297.55,16343.65,16082.45,16210.45,16277.85,-67.39999999999964,-0.41,16664.85,11901.85,29758718,29005298204.86,25-Oct-2023 16:00:00,27.22,0.27
NIFTY LARGEMID250,NIFTY LARGEMID250,11552.15,11585.6,11375.75,11449.35,11530.25,-80.89999999999964,-0.7,12213.05,5635.2,1434137554,415867138224.5,25-Oct-2023 16:00:00,15.54,-2.46
NIFTY BANK,NIFTY BANK,43308.3,43397.45,42758.4,42832,43151.2,-319.1999999999971,-0.74,46369.5,38613.15,188273620,74021943215.3,25-Oct-2023 16:00:00,4.47,-3.27
NIFTY MID SELECT,NIFTY MID SELECT,8863.25,8922.05,8729.45,8787,8847.3,-60.29999999999927,-0.68,9241.3,5520.25,105270887,40596704424.11,25-Oct-2023 16:00:00,21.53,-2.33
NIFTY 50,NIFTY 50,19286.45,19347.3,19074.15,19122.15,19281.75,-159.59999999999854,-0.83,20222.45,16828.35,225291741,198181932861.15,25-Oct-2023 16:00:00,8.75,-1.99
TATASTEEL,TATASTEELEQN,121.2,122.8,120.75,121.3,120,1.3,1.08,135,98.55,27346103,3330481884.3700004,25-Oct-2023 15:59:44,18.58,-5.33
COALINDIA,COALINDIAEQN,306.1,312.7,305,309.1,306.1,3,0.98,319.75,207.6,7253336,2240047756.88,25-Oct-2023 15:59:33,27.28,8.03
HINDALCO,HINDALCOEQN,466,473,459.4,460.5,456.7,3.8,0.83,508.9,381,7854105,3659855847.9,25-Oct-2023 15:57:34,15.46,-4.63
TATACONSUM,TATACONSUMEQN,883.3,894.45,882.35,889.05,883.1,5.95,0.67,928,686.6,1531972,1361785230.52,25-Oct-2023 15:59:46,14.55,0.61
SBIN,SBINEQN,558.6,560.8,553.6,556.6,552.95,3.65,0.66,629.55,499.35,12134624,6767115766.08,25-Oct-2023 15:59:58,-3.08,-7.56
MARUTI,MARUTIEQN,10520,10647.45,10501.6,10620,10553.65,66.35,0.63,10810.85,8076.05,401105,4246181762.0499997,25-Oct-2023 15:59:02,20.4,0.18
M&M,M&MEQN,1574,1576.6,1547,1570.95,1565.15,5.8,0.37,1670,1123.4,2510769,3928600254.3,25-Oct-2023 15:59:04,23.15,-2.61
LTIM,LTIMEQN,5236.95,5295,5180.95,5218,5201.75,16.25,0.31,5593.4,4121,293641,1538273615.42,25-Oct-2023 15:58:43,-,-4.16
NESTLEIND,NESTLEINDEQN,24280,24529.7,24153.1,24245.25,24197.75,47.5,0.2,24745,17880,111350,2714302118.5,25-Oct-2023 15:58:05,15.92,7.39
POWERGRID,POWERGRIDEQN,199,200.45,197.8,199.85,199.75,0.1,0.05,209,153.19,16817158,3354350334.6800003,25-Oct-2023 15:59:46,-8.73,0.3
ADANIPORTS,ADANIPORTSEQN,772.5,783.35,761.05,771,771.45,-0.45,-0.06,916,395.1,2581498,1994981654.3999999,25-Oct-2023 15:58:57,-4.23,-6.72
HINDUNILVR,HINDUNILVREQN,2475.05,2490,2465,2481.65,2483.5,-1.85,-0.07,2769.65,2393,1435836,3557542140.4799995,25-Oct-2023 15:59:18,-3.48,0.04
SUNPHARMA,SUNPHARMAEQN,1125,1129.7,1112.8,1119,1122.45,-3.45,-0.31,1169.7,922.45,1800673,2017113894.6000001,25-Oct-2023 15:58:57,13.72,-0.87
WIPRO,WIPROEQN,384.4,387.7,381.1,381.95,383.15,-1.2,-0.31,443.75,352,3339147,1281831750.36,25-Oct-2023 15:59:44,-0.4,-8.45
RELIANCE,RELIANCEEQN,2250.05,2281.2,2243,2256,2263.2,-7.2,-0.32,2856,2180,5810344,13140034852.56,25-Oct-2023 15:59:47,-8.74,-3.9
HEROMOTOCO,HEROMOTOCOEQN,3150,3171,3090,3139.75,3149.85,-10.1,-0.32,3275,2246,391029,1225868094.42,25-Oct-2023 15:49:40,22,4.21
KOTAKBANK,KOTAKBANKEQN,1749,1761.75,1722,1734.85,1740.75,-5.9,-0.34,2064.4,1643.5,3512668,6123001844.16,25-Oct-2023 15:59:20,-8.18,-0.89
BRITANNIA,BRITANNIAEQN,4470,4585.6,4470,4515.2,4530.6,-15.4,-0.34,5270.35,3690,330082,1501328464.7,25-Oct-2023 15:58:33,19.17,-0.75
ASIANPAINT,ASIANPAINTEQN,3093.4,3108,3052,3061.1,3072,-10.9,-0.35,3568,2685.85,669290,2062517528.5,25-Oct-2023 15:59:34,-1.59,-6.19
BAJAJFINSV,BAJAJFINSVEQN,1612.9,1630,1598.85,1606.8,1613.15,-6.35,-0.39,1817.9,1215,1490405,2401608808.9,25-Oct-2023 15:59:15,-5.21,4.5
